# time,density
8.000000000000000000e+00,4.153157000000000000e+06
1.500000000000000000e+01,1.743914600000000000e+07
2.200000000000000000e+01,3.480086300000000000e+07
2.600000000000000000e+01,5.001831400000000000e+07
3.100000000000000000e+01,6.570379400000000000e+07
